OBJECTID,State,Segment,stTranNum,MHW,dVol,dMean,dDensity,Start_Date,End_Date,dMHW_Vol,dDensityMHW,dMHW_Vol2,dDensityMHW2,dMHW,dMHW_Rate,mapPlot,Shape_Length_1,Shape_Area_1,Start_Date,End_Date,Shape,Shape.STArea(),Shape.STLength(),GlobalID,created_user,created_date,last_edited_user,last_edited_date,x,y
7,VA,12,1793,0.25999999,3148,0.13,9.6,20140720,20161101,2799,8.6,2798,8.6,13.23811362,18.99830656,74,4198.69483229,199923.34321421,,,,0.000020145690892381504,0.046282097018754666,{42D87962-72D6-4220-9020-AC84CC37184A},,,,,,
8,VA,12,1794,0.25999999,3383,0.14,10.3,20140720,20161101,3076,9.4,3076,9.4,11.37064958,16.31826804,74,4198.67811122,199913.27087477,,,,0.000020144327015195005,0.046281456515542566,{4B86FE4C-B72A-4A57-AE1F-7B70BF803A66},,,,,,
9,VA,12,1795,0.25999999,0,,,20140720,20161101,1713,5.3,1713,5.3,-5.03771039,-7.22972842,74,4198.69645017,199925.05994146,,,,0.000020145353276382006,0.04628131328478648,{1FA860A5-9866-4732-A144-67E2EB3CF209},,,,,,
10,VA,12,1796,0.25999999,1354,0.05,4.1,20140720,20161101,1424,4.3,1423,4.3,-1.87604338,-2.69235091,74,4198.70740112,199925.34628856,,,,0.000020145144209957504,0.046280816240536246,{3082179D-694C-473C-86DC-9921A2DA89A0},,,,,,
11,VA,12,1797,0.25999999,3014,0.12,9.2,20140720,20161101,2577,7.8,2577,7.8,-2.09547625,-3.00726383,74,4198.69270811,199923.5072504,,,,0.000020144723888809507,0.04628012404373881,{E00405F6-DE89-46FD-A625-D12E9DBD9775},,,,,,
12,VA,12,1798,0.25999999,3200,0.12,9.8,20140720,20161101,2540,7.8,2539,7.8,8.65215558,12.41689782,74,4198.69064721,199923.22947372,,,,0.000020144484641507006,0.0462796615712736,{6D9C4C9D-FAF5-499F-88E7-764B9028452E},,,,,,
13,VA,12,1799,0.25999999,3437,0.13,10.5,20140720,20161101,2724,8.4,2724,8.3,8.03653199,11.53340294,74,4198.6852552,199924.60967171,,,,0.000020144398073991006,0.04627914306122564,{8679E3A8-F859-4D9A-AEBB-18B63CCD58CE},,,,,,
14,VA,12,1800,0.25999999,2541,0.1,7.7,20140720,20161101,2182,6.7,2181,6.7,10.90742274,15.65348107,74,4198.68600944,199915.08113681,,,,0.000020143163067805505,0.04627854946851089,{CA55344F-6912-4EFC-A621-10147D918E3C},,,,,,
15,VA,12,1801,0.25999999,2872,0.11,8.8,20140720,20161101,2717,8.3,2716,8.3,5.83610294,8.37551904,74,4198.69676804,199923.54383299,,,,0.000020143890659534006,0.04627816118385867,{C2377A76-2A83-44C3-931B-0EA6FEE0D7C0},,,,,,
16,VA,12,1802,0.25999999,1520,0.06,4.6,20140720,20161101,1508,4.6,1508,4.6,11.30848281,16.22905116,74,4198.68537939,199915.18297289,,,,0.000020142721852137005,0.04627754149684782,{815254EA-D22E-474C-8336-B0A2C7A8A9C2},,,,,,
17,VA,12,1803,0.25999999,3224,0.13,9.8,20140720,20161101,3174,9.7,3175,9.7,-3.30891526,-4.7486967,74,4198.69178692,199923.18700728,,,,0.000020143444259131005,0.04627706375038616,{6FBE3F35-530E-47D0-A214-CE7E4A28BC4F},,,,,,
18,VA,12,1804,0.25999999,2934,0.11,8.9,20140720,20161101,2792,8.6,2792,8.6,3.37131849,4.83825294,74,4198.69376939,199924.99601861,,,,0.000020143208278628004,0.0462766376060746,{30B62064-A91C-4AE7-9DDC-F1B0849797BE},,,,,,
19,VA,12,1805,0.25999999,3362,0.13,10.2,20140720,20161101,3074,9.4,3075,9.4,1.23023778,1.76554116,74,4198.69574581,199915.52595611,,,,0.000020142113894058506,0.04627618200719446,{98D0A35E-E4C9-4FA0-BB9C-23F03610DFA4},,,,,,
20,VA,12,1806,0.25999999,3318,0.13,10.1,20140720,20161101,2942,8.9,2942,8.9,11.81859598,16.96112573,74,4198.70110418,199933.35694093,,,,0.000020143699262493507,0.04627569529172299,{753563BF-D615-4DC8-AEAA-3FF21FE818C5},,,,,,
21,VA,12,1807,0.25999999,3237,0.13,9.9,20140720,20161101,2821,8.6,2822,8.6,5.03065524,7.21960343,74,4198.69704235,199923.23151295,,,,0.000020142438510185504,0.046275100817117804,{68435150-D8C6-4A89-92B7-21BB3185D505},,,,,,
22,VA,12,1808,0.25999999,3677,0.15,11.2,20140720,20161101,2879,8.7,2880,8.7,11.226925,16.11200577,74,4198.67507217,199913.12746536,,,,0.000020141139576330005,0.04627452404528681,{6B042604-F912-42ED-802A-92EEC4B772E9},,,,,,
23,VA,12,1809,0.25999999,4297,0.17,13.1,20140720,20161101,3211,9.8,3213,9.8,13.18120917,18.91664175,74,4198.69321331,199926.62130272,,,,0.000020142379016569504,0.046274139230239895,{EB2ED8B3-3D77-4E57-823D-7F28F1007F5F},,,,,,
24,VA,12,1810,0.25999999,3280,0.14,10,20140720,20161101,2763,8.4,2764,8.4,13.13454025,18.84966616,74,4198.69685274,199923.51024147,,,,0.000020141799372473504,0.04627367807072301,{69D2F40F-FF29-4B4C-A4E1-78525D3F3620},,,,,,
25,VA,12,1811,0.25999999,1783,0.08,5.4,20140720,20161101,1491,4.5,1492,4.5,5.15704454,7.40098748,74,4198.68119471,199913.44066829,,,,0.000020140609487309506,0.046273035818930004,{C12B60A4-A657-4027-BD1A-579839B74F2F},,,,,,
26,VA,12,1812,0.25999999,1787,0.08,5.4,20140720,20161101,1733,5.2,1734,5.3,3.53282391,5.07003291,74,4198.69080791,199924.82908578,,,,0.000020141475021935506,0.04627266974094379,{E5053FF9-C0A1-405D-8B98-E919D4057515},,,,,,
27,VA,12,1813,0.25999999,793,0.04,2.4,20140720,20161101,865,2.6,865,2.6,-5.22401199,-7.49709393,75,4198.69746919,199924.99189587,,,,0.000020141271412312004,0.04627213445639054,{E2A06FC8-F79C-4528-9071-637462DB8F16},,,,,,
28,VA,12,1814,0.25999999,958,0.04,2.9,20140720,20161101,950,2.9,950,2.9,-4.21137123,-6.04383102,75,4198.686583,199913.80288363,,,,0.000020139919136942004,0.04627171803960923,{F58181C4-6AF8-4157-AD41-6F5725245A69},,,,,,
29,VA,12,1815,0.25999999,680,0.03,2.1,20140720,20161101,592,1.8,593,1.8,-4.58884349,-6.58554972,75,4198.70225524,199934.93690878,,,,0.000020141817458720505,0.046271258022805906,{E6AE3A88-1505-412C-8F62-2FD49E51103F},,,,,,
30,VA,12,1816,0.25999999,1663,0.08,5.1,20140720,20161101,1424,4.4,1425,4.4,1.13964671,1.63553194,75,4198.69476771,199923.16599603,,,,0.000020140408630682006,0.046270650109459785,{14ED2046-2AB9-48C1-AC4E-C5B76BFF07F0},,,,,,
31,VA,12,1817,0.25999999,1774,0.08,5.4,20140720,20161101,944,2.9,945,2.9,3.43650124,4.93179813,75,4198.68000091,199913.09561228,,,,0.000020139171782177504,0.046269989506831345,{68FA2EFF-AEBA-4B7E-AC6C-C91052B6FBE6},,,,,,
32,VA,12,1818,0.25999999,1427,0.07,4.3,20140720,20161101,429,1.3,430,1.3,6.3565991,9.12249448,75,4198.69090782,199924.97936712,,,,0.000020140175397100005,0.04626963811758105,{85CE815A-21DF-4C27-BEE2-DCFBF41CFBB3},,,,,,
33,VA,12,1819,0.25999999,-664,-0.03,-2,20140720,20161101,-1077,-3.3,-1077,-3.3,3.37210961,4.8393883,75,4198.6945254,199925.069821,,,,0.000020139900873723006,0.046269168390479065,{E356FE87-CC82-4B9F-9457-9BAC439A2550},,,,,,
34,VA,12,1820,0.25999999,-1393,-0.07,-4.2,20140720,20161101,-1464,-4.5,-1464,-4.5,-3.04683847,-4.37258457,75,4198.67987978,199913.37142084,,,,0.000020138579373092006,0.04626853057364797,{7472D2F1-409C-4C3B-8D2A-E862C70A761F},,,,,,
35,VA,12,1821,0.25999999,-1939,-0.09,-5.9,20140720,20161101,-2206,-6.7,-2205,-6.7,-7.56644716,-10.8587739,75,4198.68542867,199923.15454742,,,,0.000020139242887118006,0.04626819706300399,{6690CD3A-4035-41C4-BF03-E3D4894BCBF1},,,,,,
36,VA,12,1822,0.25999999,-3693,-0.19,-11.3,20140720,20161101,-3666,-11.2,-3666,-11.2,-0.3509981,-0.50372506,75,4198.69642269,199926.57163349,,,,0.000020139409365164005,0.04626777389044066,{497D1120-8AB1-4A2C-A576-FA9A5763238E},,,,,,
37,VA,12,1823,0.25999999,-4930,-0.25,-15,20140720,20161101,-4950,-15.1,-4950,-15.1,-7.56681065,-10.85929556,75,4198.69181386,199913.73386939,,,,0.000020137868607563504,0.04626709223344944,{5B57F4CA-3A27-447F-B2A9-0F082EE18320},,,,,,
38,VA,12,1824,0.25999999,-6611,-0.33,-20.1,20140720,20161101,-6171,-18.8,-6171,-18.8,-12.98642823,-18.63710735,75,4198.70076171,199933.22822343,,,,0.000020139619807731504,0.046266803295668193,{629FBAD6-DB4E-4169-A913-85B4D69F32E9},,,,,,
39,VA,12,1825,0.25999999,-3302,-0.16,-10.1,20140720,20161101,-3227,-9.8,-3226,-9.8,-12.85942837,-18.45484707,75,4198.68532173,199924.79677085,,,,0.000020138545116159507,0.04626622871921775,{95024EA3-F327-40D4-8B1D-16FF9A2C1F9D},,,,,,
40,VA,12,1826,0.25999999,-1436,-0.07,-4.4,20140720,20161101,-1752,-5.3,-1752,-5.3,-1.10118064,-1.58032844,75,4198.67793248,199913.06370754,,,,0.000020136986327044004,0.04626550582143866,{AB953F05-E152-4244-8D87-0234D5D86179},,,,,,
41,VA,12,1827,0.25999999,-2352,-0.12,-7.2,20140720,20161101,-2425,-7.4,-2425,-7.4,3.36972831,4.83597084,75,4198.69424474,199924.91868785,,,,0.000020138051595847504,0.04626513674833566,{4700BF08-FB4E-4EE1-B1BD-725FE58E717A},,,,,,
